1741224446.048572311 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224463.454612205 64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=130 ms
1741224463.561574374 64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=136 ms
1741224463.668578543 64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=142 ms
1741224463.766049520 64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=137 ms
1741224463.854938322 64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=123 ms
1741224464.041493104 64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=208 ms
1741224464.133731975 64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=195 ms
1741224464.309822545 64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=273 ms
1741224464.456171512 64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=313 ms
1741224464.620958853 64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=375 ms
1741224464.713662733 64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=368 ms
1741224464.990052336 64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=414 ms
1741224465.018390911 64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=455 ms
1741224465.103069627 64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=450 ms
1741224465.201428621 64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=444 ms
1741224465.304557713 64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=443 ms
1741224465.403516719 64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=409 ms
1741224465.541616519 64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=444 ms
1741224465.638412482 64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=441 ms
1741224465.757892904 64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=456 ms
1741224465.871434206 64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=468 ms
1741224465.983586480 64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=468 ms
1741224466.075210338 64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=461 ms
1741224466.180835479 64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=466 ms
1741224466.280848507 64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=465 ms
1741224466.380155521 64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=460 ms
1741224466.502616003 64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=480 ms
1741224466.589828772 64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=468 ms
1741224466.682960660 64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=462 ms
1741224466.780149630 64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=457 ms
1741224466.888530828 64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=460 ms
1741224466.985834801 64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=457 ms
1741224467.089132895 64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=460 ms
1741224467.177215680 64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=448 ms
1741224467.309317359 64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=477 ms
1741224467.375663704 64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=442 ms
1741224467.486218945 64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=453 ms
1741224467.497119166 64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=358 ms
1741224467.510280433 64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=275 ms
1741224467.545922156 64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=208 ms
1741224467.600692266 64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=161 ms
1741224467.623633731 64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=82.9 ms
1741224467.679501864 64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=38.6 ms
1741224467.767588650 64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=23.5 ms
1741224467.893331198 64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=44.7 ms
1741224468.035837088 64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=85.5 ms
1741224468.157798560 64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=108 ms
1741224468.271034856 64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=120 ms
1741224468.400064473 64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=147 ms
1741224468.496182422 64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=143 ms
1741224468.601506557 64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=146 ms
1741224468.699198537 64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=140 ms
1741224468.809783780 64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=146 ms
1741224468.905500720 64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=143 ms
1741224469.008563810 64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=145 ms
1741224469.122338116 64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=157 ms
1741224469.202819748 64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=135 ms
1741224469.309345908 64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=140 ms
1741224469.413459018 64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=143 ms
1741224469.503856852 64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=133 ms
1741224469.602760857 64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=128 ms
1741224469.707591982 64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=130 ms
1741224469.814580152 64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=136 ms
1741224469.923680363 64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=145 ms
1741224470.015018215 64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=135 ms
1741224470.129775542 64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=145 ms
1741224470.202175009 64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=116 ms
1741224470.314834294 64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=128 ms
1741224470.418390393 64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=131 ms
1741224470.516377380 64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=126 ms
1741224470.615361386 64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=123 ms
1741224470.728884688 64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=134 ms
1741224470.827851694 64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=133 ms
1741224470.942471019 64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=146 ms
1741224471.113972495 64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=215 ms
1741224471.244339138 64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=242 ms
1741224471.405105398 64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=295 ms
1741224471.552969396 64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=338 ms
1741224471.681268997 64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=368 ms
1741224471.814489698 64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=396 ms
1741224471.944641337 64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=421 ms
1741224472.058610648 64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=435 ms
1741224472.201663548 64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=476 ms
1741224472.298545513 64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=473 ms
1741224472.410341779 64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=484 ms
1741224472.507625751 64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=482 ms
1741224472.602849682 64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=475 ms
1741224472.722457107 64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=488 ms
1741224472.848584664 64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=515 ms
1741224472.944191603 64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=510 ms
1741224473.041015566 64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=508 ms
1741224473.155146880 64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=520 ms
1741224473.239628593 64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=500 ms
1741224473.337438576 64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=495 ms
1741224473.430571463 64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=489 ms
1741224473.545717798 64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=504 ms
1741224473.641837747 64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=497 ms
1741224473.741488767 64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=491 ms
1741224473.803851032 64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=454 ms
1741224473.827892519 64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=377 ms
1741224473.853688043 64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=297 ms
1741224473.895632893 64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=238 ms
1741224474.067345374 64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=307 ms
1741224474.178558628 64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=314 ms
1741224474.302914149 64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=337 ms
1741224474.437839885 64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=371 ms
1741224474.551598191 64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=378 ms
1741224474.564020443 64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=276 ms
1741224474.581423796 64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=207 ms
1741224474.621730613 64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=146 ms
1741224474.655798304 64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=77.5 ms
1741224474.720969625 64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=40.3 ms
1741224474.811599463 64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=26.8 ms
1741224474.916574591 64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=28.9 ms
1741224475.049167280 64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=58.7 ms
1741224475.192905194 64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=104 ms
