1741225446.315579354 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225468.757196361 64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=59.2 ms
1741225468.874793746 64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=69.5 ms
1741225468.953691345 64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=50.1 ms
1741225469.048440266 64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=44.8 ms
1741225469.168875708 64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=65.7 ms
1741225469.282959022 64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=77.6 ms
1741225469.409957597 64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=100 ms
1741225469.531324057 64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=119 ms
1741225469.593657321 64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=83.6 ms
1741225469.808021666 64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=89.8 ms
1741225469.912349782 64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=94.0 ms
1741225470.007259706 64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=91.7 ms
1741225470.078997160 64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=66.5 ms
1741225470.198212577 64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=77.7 ms
1741225470.363202922 64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=41.2 ms
1741225470.448280648 64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=21.8 ms
1741225470.561820950 64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=37.3 ms
1741225470.757776923 64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=28.2 ms
1741225471.002422884 64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=67.4 ms
1741225471.074707349 64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=40.8 ms
1741225471.222785351 64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=84.5 ms
1741225471.272010349 64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=34.9 ms
1741225471.379715533 64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=39.5 ms
1741225471.502455022 64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=58.7 ms
1741225471.579776590 64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=39.1 ms
1741225471.677560572 64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=37.1 ms
1741225471.792413902 64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=51.2 ms
1741225471.900970103 64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=54.7 ms
1741225472.108557311 64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=62.3 ms
1741225472.205631280 64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=58.9 ms
1741225472.302540244 64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=53.8 ms
1741225472.372846670 64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=25.0 ms
1741225472.476590773 64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=27.2 ms
1741225472.823664810 64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=62.3 ms
1741225472.919990763 64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=56.1 ms
1741225473.037019136 64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=75.4 ms
1741225473.143769301 64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=80.7 ms
1741225473.248142417 64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=85.8 ms
